52	3
55	3
60	3
60	3
60	4
60	1
57	3
55	3
52	3
55	3
60	16
0	3
60	3
62	3
64	3
64	3
64	4
64	1
67	3
67	3
67	3
64	3
62	16
0	3
67	3
65	3
64	3
64	3
64	4
64	1
62	3
60	9
60	3
60	3
60	4
60	1
65	3
65	9
64	3
64	3
64	4
64	1
62	3
62	3
64	3
62	3
60	12
0	6
52	3
55	3
60	4
0	1
60	4
0	1
57	3
55	3
52	3
55	3
60	12
0	6
60	3
62	3
64	4
0	1
64	4
0	1
67	3
67	3
67	3
64	3
62	12
0	6
67	3
65	3
64	4
0	1
64	4
0	1
62	3
60	8
60	5
60	6
65	3
65	8
0	1
64	5
64	5
62	3
62	3
64	3
62	3
60	12
0	6
52	3
55	3
60	3
60	3
60	4
60	1
57	3
55	3
52	3
55	3
60	16
0	3
60	3
62	3
64	3
64	3
64	4
64	1
67	3
67	3
67	3
64	3
62	16
0	3
67	3
65	3
64	3
64	3
64	4
64	1
62	3
60	9
60	3
60	3
60	4
60	1
65	3
65	9
64	3
64	3
64	4
64	1
62	3
62	3
64	3
62	3
60	12
0	8
-1	-1	

#-----------------------------------------------------------------------------
# lemm_mountain.dat
#
# -- Aaron Ardiri, 2001
#-----------------------------------------------------------------------------
#                                                         created: 01-Oct-2001
#-----------------------------------------------------------------------------
