61	4
57	4
54	4
52	4
64	2
68	2
71	2
62	2
61	2
59	2
57	4
61	4
57	4
54	4
52	4
64	2
68	2
71	2
52	2
57	2
52	2
57	4
61	4
57	4
54	4
64	4
64	2
68	2
71	2
62	2
61	2
59	2
57	4
61	4
57	4
54	4
52	4
64	2
68	2
71	2
52	2
57	2
52	2
57	4
45	4
52	4
59	2
62	2
61	2
59	2
64	4
64	4
64	2
66	2
61	2
62	2
59	4
59	4
59	2
62	2
61	2
59	2
57	2
69	2
68	2
66	2
64	2
62	2
61	2
59	2
45	4
52	4
59	2
62	2
61	2
59	2
64	4
64	4
64	2
66	2
61	2
62	2
59	4
59	4
59	2
62	2
61	2
59	2
57	2
64	2
59	2
61	2
57	9
59	9
59	2
57	2
57	4
74	2
78	2
81	2
78	2
78	2
76	2
76	2
0	2
66	2
59	2
59	2
66	2
64	2
57	2
57	4
73	2
71	2
73	2
71	2
73	2
71	2
73	2
71	2
59	7
61	2
59	2
57	2
57	4
62	2
66	2
69	2
66	2
66	2
64	2
64	4
66	2
59	2
59	2
66	2
64	2
57	2
57	4
61	2
59	2
61	2
59	2
57	7
0	2
61	4
57	4
54	4
52	4
64	2
68	2
71	2
62	2
61	2
59	2
57	4
61	4
57	4
54	4
52	4
64	2
68	2
71	2
52	2
57	2
52	2
57	4
61	4
69	4
54	4
52	4
52	2
68	2
71	2
62	2
61	2
0	2
57	4
61	4
57	4
66	4
52	4
64	2
68	2
71	2
52	2
57	2
52	2
57	4
45	4
52	4
59	2
62	2
61	2
59	2
64	4
64	4
64	2
66	2
61	2
62	2
59	4
59	4
59	2
62	2
61	2
59	2
57	2
69	2
68	2
66	2
64	2
62	2
61	2
59	2
45	4
52	4
0	2
62	2
61	2
0	2
52	4
47	4
64	2
66	2
61	2
62	2
47	4
42	4
0	2
62	2
61	2
0	2
57	2
64	2
59	2
61	2
57	9
-1	-1

#-----------------------------------------------------------------------------
# lemm_cancan.dat
#
# -- Aaron Ardiri, 2001
#-----------------------------------------------------------------------------
#                                                         created: 01-Oct-2001
#-----------------------------------------------------------------------------
