66	3
64	3
62	8
64	3
66	3
67	3
69	11
71	2
73	3
74	5
73	6
71	5
69	11
71	2
73	3
74	5
73	6
71	5
69	5
71	6
73	5
74	5
69	6
67	5
66	11
66	2
64	3
62	8
64	3
66	2
67	3
69	11
71	2
73	3
74	5
73	6
71	5
69	12
71	2
73	3
74	5
73	6
71	5
69	5
71	6
73	5
74	5
69	6
67	5
66	12
66	2
64	3
62	8
64	3
66	2
67	3
69	11
74	2
73	3
71	11
71	6
69	17
74	5
73	5
71	5
69	5
71	6
73	5
74	5
69	6
67	5
66	17
66	2
64	3
62	8
64	3
66	2
67	3
69	11
74	3
73	3
71	11
71	5
69	17
74	5
73	6
71	5
69	5
71	6
73	5
74	5
69	6
67	5
66	17
-1	-1

#-----------------------------------------------------------------------------
# lemm_noel.dat
#
# -- Aaron Ardiri, 2001
#-----------------------------------------------------------------------------
#                                                         created: 01-Nov-2001
#-----------------------------------------------------------------------------
